iter	MultiClass
0	1.0623495
1	1.031546099
2	1.005528027
3	0.9838967385
4	0.965704009
5	0.9504420639
6	0.9379222882
7	0.9252294212
8	0.9143618191
9	0.9051118358
10	0.8971339419
11	0.8897731822
12	0.8825317005
13	0.8764628376
14	0.8701861359
15	0.8651262777
16	0.8605297787
17	0.8563807191
18	0.8522963809
19	0.8484952773
20	0.8437937813
21	0.8402272198
22	0.837434093
23	0.834559064
24	0.8314192499
25	0.8288659018
26	0.8264519471
27	0.8238841733
28	0.8214064087
29	0.8189425452
30	0.8160356081
31	0.8139001898
32	0.8116082117
33	0.8092717389
34	0.8072293985
35	0.8050714527
36	0.8032699896
37	0.8016343821
38	0.8000951198
39	0.7987564573
40	0.7968141851
41	0.7953753997
42	0.7938464317
43	0.7927773478
44	0.7911587306
45	0.789864553
46	0.7885400445
47	0.7870475043
48	0.785824284
49	0.7846917141
50	0.7835995488
51	0.7825795444
52	0.7814762324
53	0.7805787007
54	0.7794428284
55	0.7782315715
56	0.7769743539
57	0.7758312567
58	0.7745304638
59	0.7734165161
60	0.7723832316
61	0.7715709525
62	0.7705836968
63	0.7696067465
64	0.7684536243
65	0.7674719851
66	0.766742813
67	0.7659014349
68	0.7649965127
69	0.7643695344
70	0.7635088276
71	0.7626034473
72	0.7617554328
73	0.7609216149
74	0.759987199
75	0.7593593223
76	0.7585562301
77	0.7578801816
78	0.7571394123
79	0.7563745584
80	0.7557172488
81	0.7550644865
82	0.7544349307
83	0.753769594
84	0.7531607081
85	0.7524037388
86	0.7515049491
87	0.7507075536
88	0.7499683774
89	0.7493047651
90	0.7487283817
91	0.74795128
92	0.7472990226
93	0.7466731134
94	0.746197289
95	0.7455055344
96	0.7447704631
97	0.7443037444
98	0.7436508726
99	0.7430870108
100	0.7424339369
101	0.7420007939
102	0.7414565926
103	0.740844783
104	0.7402972093
105	0.7398709923
106	0.7392448019
107	0.7386577242
108	0.7382457567
109	0.7376054538
110	0.7370934458
111	0.7362478628
112	0.7356888543
113	0.7351199608
114	0.7345291462
115	0.7338289796
116	0.7333787477
117	0.7328878875
118	0.7324133096
119	0.7318909201
120	0.7311109085
121	0.7306090738
122	0.7300712328
123	0.7295480453
124	0.7288518856
125	0.7283044845
126	0.7278974641
127	0.727452312
128	0.7268311106
129	0.726312604
130	0.7255841507
131	0.7251648843
132	0.7246195856
133	0.7240953255
134	0.7236936336
135	0.7229185922
136	0.7224654187
137	0.7218984263
138	0.7212657374
139	0.7209435438
140	0.7205673272
141	0.7200944277
142	0.7196735573
143	0.7192171484
144	0.7188635168
145	0.718439662
146	0.7181447996
147	0.7177756253
148	0.71745827
149	0.7171326151
150	0.7167098407
151	0.7162756793
152	0.7158789253
153	0.7154765865
154	0.7151258176
155	0.7147835921
156	0.7143816229
157	0.7140189172
158	0.7137073366
159	0.7133335966
160	0.7129298814
161	0.7126104934
162	0.7121854078
163	0.7117829403
164	0.7114901843
165	0.7112056795
166	0.7108392117
167	0.7105128017
168	0.7102077774
169	0.7099331876
170	0.709580366
171	0.7091425168
172	0.7088331077
173	0.7084002179
174	0.7080249206
175	0.7077004674
176	0.7073579618
177	0.7070572022
178	0.7067277773
179	0.7063777724
180	0.7058090036
181	0.7055310431
182	0.7052635682
183	0.7049355194
184	0.7045996932
185	0.7043145586
186	0.7040201155
187	0.7036342647
188	0.7033441282
189	0.703165062
190	0.7027949414
191	0.7025963
192	0.7023156392
193	0.7020721182
194	0.7015378602
195	0.7011983851
196	0.7010418274
197	0.7007830381
198	0.7005506223
199	0.7001040964
200	0.6998735214
201	0.6994835974
202	0.699246558
203	0.6989196027
204	0.6986821505
205	0.6984358615
206	0.6981192755
207	0.6979788148
208	0.6977976394
209	0.6975537823
210	0.6973249956
211	0.697077916
212	0.6967885445
213	0.6966335831
214	0.6964030964
215	0.6962293145
216	0.6960504334
217	0.6958923724
218	0.6957328621
219	0.6954634747
220	0.6951534521
221	0.694972052
222	0.6946941335
223	0.6944572864
224	0.6940957929
225	0.6938876926
226	0.6937019937
227	0.6935160942
228	0.6931960936
229	0.6929467927
230	0.6927510232
231	0.6924392768
232	0.6922396682
233	0.6919759486
234	0.6916285995
235	0.6914143118
236	0.6911983967
237	0.6908580492
238	0.6906457125
239	0.6905054882
240	0.6902892935
241	0.6901394061
242	0.6898952345
243	0.6896768784
244	0.6894305207
245	0.6892370726
246	0.6890304324
247	0.6888769691
248	0.6886860961
249	0.6884470712
250	0.6882976795
251	0.6880106416
252	0.6877564474
253	0.6875454293
254	0.6873936761
255	0.6872669081
256	0.6871668476
257	0.6869546016
258	0.6866549904
259	0.6865224532
260	0.6863860643
261	0.6862309579
262	0.6859539187
263	0.6857621343
264	0.6856617156
265	0.6854985661
266	0.6852739305
267	0.685013626
268	0.6848568076
269	0.6845319508
270	0.6843530209
271	0.6841220535
272	0.6840460751
273	0.6839379322
274	0.6837601582
275	0.683592375
276	0.683400438
277	0.6832549197
278	0.6830793196
279	0.682918396
280	0.6827262108
281	0.6825124978
282	0.6823632538
283	0.6822358665
284	0.6820892094
285	0.6819615584
286	0.6817649305
287	0.6813368618
288	0.6811773932
289	0.6810316429
290	0.6809328949
291	0.6808286351
292	0.6805240038
293	0.6804304183
294	0.6802437232
295	0.6801184173
296	0.6800114801
297	0.6798767671
298	0.6796667453
299	0.6795235288
300	0.6793892615
301	0.6792465044
302	0.6791343857
303	0.6789859616
304	0.6788818515
305	0.6786754414
306	0.678588608
307	0.6783985955
308	0.678217807
309	0.6780375578
310	0.6779041362
311	0.6777841452
312	0.6776527871
313	0.6774901074
314	0.6773837265
315	0.6772102734
316	0.676994882
317	0.6768776351
318	0.6766492721
319	0.6765043689
320	0.6763640093
321	0.6762001765
322	0.6760317393
323	0.6758481568
324	0.6757312466
325	0.6755187824
326	0.6753262004
327	0.6750695169
328	0.6749425937
329	0.6747160744
330	0.6745951583
331	0.6744326776
332	0.6742540934
333	0.6741087394
