iter	Passed	Remaining
0	407	406739
1	624	311388
2	828	275364
3	1034	257635
4	1241	247120
5	1447	239768
6	1654	234726
7	1888	234178
8	2100	231261
9	2302	227984
10	2498	224607
11	2692	221659
12	2922	221856
13	3134	220759
14	3325	218389
15	3517	216329
16	3709	214471
17	3904	213039
18	4103	211848
19	4301	210760
20	4495	209577
21	4688	208423
22	4878	207226
23	5070	206188
24	5265	205355
25	5460	204549
26	5654	203755
27	5849	203062
28	6046	202469
29	6243	201876
30	6436	201182
31	6632	200634
32	6833	200250
33	7029	199721
34	7226	199257
35	7422	198761
36	7614	198176
37	7806	197628
38	8002	197189
39	8198	196766
40	8396	196390
41	8590	195946
42	8798	195810
43	9017	195920
44	9211	195487
45	9405	195066
46	9646	195598
47	9861	195578
48	10056	195172
49	10251	194774
50	10447	194396
51	10638	193945
52	10831	193528
53	11049	193576
54	11253	193360
55	11463	193249
56	11668	193047
57	11868	192758
58	12064	192418
59	12285	192468
60	12484	192185
61	12722	192478
62	12977	193017
63	13189	192901
64	13416	192986
65	13639	193015
66	13849	192863
67	14063	192749
68	14260	192412
69	14448	191957
70	14639	191551
71	14838	191246
72	15033	190906
73	15223	190502
74	15430	190304
75	15627	190001
76	15822	189664
77	16014	189296
78	16213	189016
79	16419	188824
80	16609	188442
81	16798	188059
82	16987	187678
83	17173	187272
84	17367	186955
85	17555	186577
86	17744	186218
87	17932	185842
88	18121	185495
89	18304	185081
90	18494	184743
91	18689	184457
92	18882	184158
93	19070	183811
94	19265	183530
95	19460	183252
96	19649	182927
97	19841	182621
98	20044	182420
99	20235	182117
100	20423	181791
101	20607	181429
102	20794	181097
103	20984	180789
104	21190	180621
105	21394	180438
106	21600	180276
107	21791	179979
108	21994	179786
109	22184	179493
110	22378	179227
111	22576	178999
112	22760	178656
113	22952	178383
114	23167	178286
115	23389	178241
116	23600	178115
117	23804	177932
118	24000	177686
119	24195	177435
120	24397	177232
121	24596	177010
122	24785	176719
123	24982	176489
124	25182	176278
125	25377	176032
126	25574	175801
127	25762	175504
128	25956	175259
129	26150	175007
130	26345	174765
131	26539	174518
132	26731	174259
133	26921	173982
134	27112	173722
135	27306	173476
136	27494	173196
137	27688	172951
138	27888	172746
139	28078	172479
140	28299	172407
141	28523	172349
142	28755	172334
143	28968	172203
144	29187	172105
145	29407	172014
146	29594	171730
147	29781	171446
148	29972	171183
149	30165	170935
150	30363	170717
151	30565	170523
152	30757	170269
153	30953	170042
154	31150	169822
155	31346	169592
156	31538	169342
157	31743	169162
158	31935	168914
159	32129	168680
160	32322	168438
161	32530	168274
162	32746	168153
163	32947	167951
164	33155	167785
165	33381	167710
166	33591	167556
167	33807	167427
168	34013	167248
169	34215	167051
170	34440	166964
171	34656	166832
172	34870	166695
173	35075	166508
174	35285	166347
175	35477	166098
176	35667	165844
177	35863	165616
178	36098	165567
179	36340	165553
180	36580	165520
181	36828	165525
182	37106	165661
183	37356	165666
184	37621	165737
185	37866	165716
186	38110	165687
187	38376	165752
188	38616	165703
189	38876	165737
190	39082	165538
191	39314	165449
192	39535	165310
193	39754	165164
194	40003	165144
195	40233	165038
196	40455	164903
197	40678	164767
198	40897	164619
199	41106	164426
200	41327	164280
201	41524	164043
202	41717	163785
203	41948	163681
204	42217	163721
205	42436	163566
206	42661	163434
207	42883	163285
208	43112	163168
